Filename,CyclomaticComplexity,VariableEntropy
func_1.js,10,5.299
func_10.js,1,4.308
func_100.js,6,5.091
func_1000.js,5,4.253
func_10000.js,5,NaN
func_100000.js,1,3.294
func_100001.js,7,4.328
func_100002.js,2,2.162
func_100003.js,7,5.074
func_100004.js,1,3.190
func_100005.js,2,2.425
func_100006.js,3,2.067
func_100007.js,2,4.454
func_100008.js,2,3.031
func_100009.js,1,3.898
func_10001.js,1,2.732
func_100010.js,4,2.683
func_100011.js,2,3.014
func_100012.js,3,1.750
func_100013.js,2,4.042
func_100014.js,29,4.317
func_100015.js,3,3.897
func_100016.js,4,3.789
func_100017.js,10,4.209
func_100018.js,13,3.621
func_100019.js,8,4.657
func_10002.js,1,3.204
func_100020.js,2,3.581
func_100021.js,10,NaN
func_100022.js,3,4.125
func_100023.js,16,5.006
func_100024.js,8,3.023
func_100025.js,5,2.987
func_100026.js,4,3.724
func_100027.js,1,4.123
func_100028.js,4,3.403
func_100029.js,5,4.339
func_10003.js,3,3.893
func_100030.js,2,2.953
func_100031.js,1,3.384
func_100032.js,10,4.596
func_100033.js,1,3.542
func_100034.js,5,3.665
func_100035.js,1,4.340
func_100036.js,2,3.523
func_100037.js,5,3.714
func_100038.js,5,2.782
func_100039.js,5,3.605
func_10004.js,4,NaN
func_100040.js,4,3.360
func_100041.js,7,4.385
func_100042.js,3,4.336
func_100043.js,1,3.103
func_100044.js,2,3.384
func_100045.js,2,3.413
func_100046.js,9,3.750
func_100047.js,1,2.732
func_100048.js,1,NaN
func_100049.js,1,2.855
func_10005.js,5,4.044
func_100050.js,2,3.006
func_100051.js,3,2.447
func_100052.js,3,3.631
func_100053.js,2,3.159
func_100054.js,1,3.264
func_100055.js,2,2.355
func_100056.js,2,3.308
func_100057.js,4,3.208
func_100058.js,4,3.640
func_100059.js,2,3.066
func_10006.js,2,2.772
func_100060.js,3,2.542
func_100061.js,5,4.351
func_100062.js,2,2.118
func_100063.js,3,NaN
func_100064.js,2,3.955
func_100065.js,4,4.117
func_100066.js,4,3.281
func_100067.js,9,3.895
func_100068.js,3,4.654
func_100069.js,3,3.284
func_10007.js,15,5.343
func_100070.js,4,3.171
func_100071.js,9,4.368
func_100072.js,4,3.944
func_100073.js,1,NaN
func_100074.js,3,2.182
func_100075.js,1,NaN
func_100076.js,3,4.303
func_100077.js,2,3.348
func_100078.js,3,4.190
func_100079.js,4,4.857
func_10008.js,2,3.915
func_100080.js,7,4.030
func_100081.js,3,2.786
func_100082.js,27,5.124
func_100083.js,3,3.903
func_100084.js,5,NaN
func_100085.js,2,3.266
func_100086.js,2,3.728
func_100087.js,3,3.580
