Filename,OriginalLength,ObfuscatedLength,Readability,Cyclomatic Complexity,Variable Entropy,Levenshtein Distance,Functionality Preserved,Deobfuscation Resistance
func_1.js,4708,2837,16.413,-1,2.322,2486,False,False
func_10.js,230,488,2.849,-1,-0.0,380,True,False
func_100.js,3013,861,7.639,-1,1.0,2205,True,False
func_1000.js,1441,878,8.527,-1,1.585,576,False,False
func_10000.js,826,395,9.367,-1,2.0,484,False,False
func_100000.js,535,340,6.625,-1,-0.0,247,True,False
func_100001.js,713,689,3.963,-1,1.585,318,True,False
func_100002.js,210,131,5.68,-1,-0.0,95,True,False
func_100003.js,2179,1645,5.625,-1,2.585,637,True,False
func_100004.js,248,136,2.676,-1,1.0,125,True,False
func_100005.js,209,314,2.187,-1,-0.0,236,True,False
func_100006.js,247,158,6.363,-1,0.0,91,True,False
func_100007.js,394,1037,4.036,-1,2.948,762,False,False
func_100008.js,224,264,5.044,-1,-0.0,174,True,False
func_100009.js,310,198,5.291,-1,-0.0,141,True,False
func_10001.js,156,93,2.586,-1,1.0,82,True,False
func_100010.js,675,144,4.216,-1,-0.0,535,False,False
func_100011.js,377,262,6.96,-1,0.0,134,True,False
func_100012.js,433,436,4.318,-1,0.0,109,False,False
func_100013.js,284,354,2.534,-1,-0.0,244,True,False
func_100014.js,3298,3055,11.458,-1,2.322,671,True,False
func_100015.js,885,436,7.161,-1,1.0,461,False,False
func_100016.js,1045,781,6.923,-1,2.0,298,True,False
func_100017.js,1690,787,7.776,-1,1.0,964,True,False
func_100018.js,1013,813,5.329,-1,-0.0,229,False,False
func_100019.js,980,732,7.212,-1,1.0,687,False,False
func_10002.js,407,188,4.547,-1,-0.0,290,True,False
func_100020.js,407,283,4.845,-1,-0.0,180,False,False
func_100021.js,2962,2489,5.536,-1,3.547,2400,False,False
func_100022.js,671,554,6.553,-1,2.0,172,False,False
func_100023.js,3765,3722,5.789,-1,2.585,638,True,False
func_100024.js,433,342,2.861,-1,1.585,138,True,False
func_100025.js,246,307,3.597,-1,-0.0,149,False,False
func_100026.js,734,619,3.039,-1,2.807,495,False,False
func_100027.js,239,214,4.233,-1,1.0,143,False,False
