Filename,OriginalLength,ReadabilityScore,CyclomaticComplexity,VariableEntropy
func_1.js,4810,434,10,5.338
func_100.js,3123,425,7,5.003
func_100000.js,547,91,1,3.321
func_100002.js,215,39,2,2.162
func_100003.js,2247,304,7,4.965
func_100004.js,252,44,1,3.432
func_100005.js,215,34,2,2.413
func_100006.js,257,49,3,2.067
func_100008.js,232,40,2,2.595
func_100009.js,320,72,2,3.676
func_10001.js,160,38,1,2.918
func_100011.js,389,65,2,3.014
func_100014.js,3390,338,29,4.317
func_100016.js,1083,142,5,3.460
func_100017.js,1757,222,10,4.141
func_10002.js,415,50,1,2.042
func_100023.js,3869,505,18,4.947
func_100024.js,450,120,8,3.023
func_100027.js,249,57,1,3.754
func_100028.js,382,66,4,3.403
func_100031.js,300,39,1,3.057
func_100032.js,2119,263,7,4.385
func_100033.js,683,115,1,3.542
func_100034.js,243,45,4,2.788
func_100035.js,291,56,1,3.409
func_100036.js,1048,104,2,3.640
func_100039.js,238,42,1,3.337
func_10004.js,273,55,4,NaN
func_100040.js,886,116,4,3.424
func_100041.js,796,110,5,3.425
func_100043.js,319,71,1,3.932
func_100044.js,291,59,3,3.057
func_100045.js,310,56,2,3.155
func_100047.js,185,37,1,2.732
func_100048.js,311,36,1,NaN
func_10005.js,181,35,2,2.777
func_100053.js,363,66,2,2.766
func_100057.js,333,71,4,2.208
func_100058.js,602,145,4,3.930
func_100060.js,319,48,3,2.483
func_100061.js,1348,183,7,4.224
func_100062.js,152,33,2,2.300
func_100064.js,606,155,2,3.148
func_100065.js,902,88,4,4.117
func_100066.js,690,64,4,NaN
func_100067.js,1612,187,9,4.051
func_100068.js,192,52,1,3.418
func_100069.js,243,55,3,3.084
func_10007.js,11800,1643,31,5.838
func_100070.js,312,70,4,2.946
func_100071.js,3859,549,16,4.146
func_100073.js,530,82,1,NaN
func_100074.js,194,43,3,1.738
func_100076.js,652,126,3,3.753
func_100077.js,286,77,2,3.317
func_100078.js,762,131,3,3.892
func_10008.js,2766,226,2,3.971
func_100081.js,339,58,3,2.786
func_100083.js,209,35,3,2.163
func_100085.js,238,39,2,2.606
func_100087.js,606,70,3,3.584
func_100088.js,670,144,2,NaN
func_100089.js,1145,226,6,NaN
func_10009.js,2960,402,15,4.832
func_100090.js,441,85,3,3.720
func_100091.js,286,59,1,2.217
func_100092.js,540,85,4,3.391
func_100093.js,324,78,2,3.708
func_100094.js,430,58,2,2.953
func_100095.js,225,51,3,2.684
