Filename,OriginalLength,ObfuscatedLength,TimeMs,ReadabilityScore,CyclomaticComplexity,VariableEntropy,LevenshteinDistance,FunctionalityMatch,DeobfuscationResistance
func_1.js,4810,5645,134.22,1209,18,6.381,5122,false,Error
func_100.js,3123,5030,46.44,1202,26,4.888,4388,false,Error
func_100000.js,547,1997,27.76,470,3,4.587,1854,false,Error
func_100002.js,215,1265,18.32,295,4,4.209,1163,false,Error
func_100003.js,2247,5081,51.16,1103,23,5.135,4543,false,Error
func_100004.js,252,1748,18.68,379,3,4.922,1592,false,Error
func_100005.js,215,1509,17.44,350,3,4.423,1390,false,Error
func_100006.js,257,1440,15.08,342,3,4.110,1321,false,Error
func_100008.js,232,1350,17.44,318,4,4.269,1247,false,Error
func_100009.js,320,1693,15.53,405,3,4.947,1545,false,Error
func_10001.js,160,1208,13.08,284,3,4.127,1119,false,Error
func_100011.js,389,1511,13.44,362,4,4.108,1373,false,Error
func_100014.js,3390,4950,23.85,1017,29,4.458,4341,false,Error
func_100016.js,1083,2900,21.67,641,15,4.957,2635,false,Error
func_100017.js,1757,4146,23.86,921,26,5.332,3724,false,Error
func_10002.js,415,1400,12.63,328,3,4.264,1230,false,Error
func_100023.js,3869,5227,36.18,1130,18,5.104,4655,false,Error
func_100024.js,450,3120,19.63,689,23,4.919,2916,false,Error
func_100027.js,249,1421,13.39,348,3,4.384,1293,false,Error
func_100028.js,382,1799,17.32,411,5,4.421,1627,false,Error
func_100031.js,300,1534,14.46,342,3,4.374,1396,false,Error
func_100032.js,2119,3921,25.84,933,18,5.439,3480,false,Error
func_100033.js,683,2281,14.74,541,11,4.504,2032,false,Error
func_100034.js,243,1460,12.28,337,6,4.055,1309,false,Error
func_100035.js,291,1699,17.00,392,3,4.411,1540,false,Error
func_100036.js,1048,2437,22.10,535,10,4.783,2194,false,Error
func_100039.js,238,1664,22.30,377,3,4.681,1535,false,Error
func_10004.js,273,1576,14.97,367,6,NaN,1439,false,Error
func_100040.js,886,2764,24.30,598,14,4.179,2438,false,Error
func_100041.js,796,2979,22.19,669,13,5.086,2726,false,Error
func_100043.js,319,1979,12.54,481,9,3.879,1814,false,Error
func_100044.js,291,1829,11.73,435,13,4.270,1668,false,Error
func_100045.js,310,1879,14.25,418,4,4.696,1708,false,Error
func_100047.js,185,1353,11.16,324,3,4.011,1255,false,Error
func_100048.js,311,1329,10.89,319,3,3.938,1177,false,Error
func_10005.js,181,1380,16.38,328,4,4.016,1276,false,Error
func_100053.js,363,2027,28.94,474,10,4.543,1849,false,Error
func_100057.js,333,1700,16.86,404,6,4.306,1553,false,Error
func_100058.js,602,2885,44.82,644,12,5.413,2640,false,Error
func_100060.js,319,1731,23.95,364,5,4.639,1535,false,Error
func_100061.js,1348,3648,36.34,755,8,5.339,3248,false,Error
func_100062.js,152,1398,14.31,332,4,4.194,1326,false,Error
func_100064.js,606,2799,17.62,671,11,4.135,2495,false,Error
func_100065.js,902,1859,12.22,394,4,4.778,1667,false,Error
func_100066.js,690,1833,13.60,421,12,4.752,1666,false,Error
func_100067.js,1612,2758,17.22,653,15,4.780,2413,false,Error
func_100068.js,192,1582,10.97,391,11,4.181,1477,false,Error
func_100069.js,243,1555,12.92,364,5,4.519,1452,false,Error
func_10007.js,11800,16784,60.32,3485,37,5.963,14848,false,Error
func_100070.js,312,1829,11.86,433,6,4.442,1676,false,Error
func_100071.js,3859,6296,34.27,1434,24,4.703,5558,false,Error
func_100073.js,530,1637,16.15,375,3,4.540,1429,false,Error
func_100074.js,194,1479,13.62,339,5,4.511,1388,false,Error
func_100076.js,652,2528,14.61,582,13,4.648,2317,false,Error
func_100077.js,286,1992,18.51,477,10,4.517,1855,false,Error
func_100078.js,762,2894,22.22,645,13,5.364,2648,false,Error
func_10008.js,2766,3665,20.25,775,4,3.916,3274,false,Error
func_100081.js,339,1446,15.12,326,5,4.146,1283,false,Error
func_100083.js,209,1457,22.63,347,5,4.234,1334,false,Error
func_100085.js,238,1415,19.90,317,3,4.075,1293,false,Error
func_100087.js,606,1810,17.49,394,4,4.899,1613,false,Error
func_100088.js,670,3090,19.86,724,18,4.483,2782,false,Error
func_100089.js,1145,3620,23.32,830,14,4.836,3271,false,Error
func_10009.js,2960,7373,47.00,1524,16,6.577,6547,false,Error
func_100090.js,441,2071,18.38,494,10,4.267,1884,false,Error
func_100091.js,286,1867,11.31,415,3,4.252,1723,false,Error
func_100092.js,540,1779,10.88,404,6,4.181,1563,false,Error
func_100093.js,324,1633,12.32,395,4,4.482,1488,false,Error
func_100094.js,430,1809,11.29,416,4,4.430,1637,false,Error
func_100095.js,225,1587,10.57,375,5,4.256,1476,false,Error
func_100097.js,206,1825,12.33,419,3,4.706,1723,false,Error
func_100098.js,1025,3414,18.12,680,6,5.838,3074,false,Error
func_1001.js,2430,5368,23.34,1118,27,4.899,4673,false,Error
func_100100.js,1905,3656,20.59,823,19,5.120,3290,false,Error
func_100102.js,704,2094,15.74,491,4,4.397,1899,false,Error
func_100104.js,1472,5095,26.50,1087,39,3.901,4628,false,Error
func_100105.js,408,1733,18.88,386,4,4.111,1593,false,Error
func_100107.js,849,1584,18.01,367,5,4.339,1389,false,Error
func_100110.js,203,1470,14.85,354,3,4.128,1360,false,Error
func_100112.js,423,1801,23.66,406,3,4.384,1632,false,Error
func_100113.js,572,2254,21.97,536,14,4.206,2017,false,Error
func_100114.js,345,1760,12.97,392,6,4.683,1634,false,Error
func_100115.js,192,1308,13.36,313,3,3.994,1204,false,Error
func_100116.js,421,1755,14.21,403,4,4.693,1593,false,Error
func_100117.js,315,1490,20.73,348,4,4.196,1345,false,Error
func_100118.js,336,1516,13.79,332,3,4.122,1309,false,Error
func_100119.js,147,1480,15.22,355,4,4.085,1399,false,Error
func_100124.js,2043,5084,29.49,1121,15,4.903,4671,false,Error
func_100125.js,806,2420,12.68,580,22,4.376,2122,false,Error
func_100126.js,281,1397,11.61,316,3,4.155,1245,false,Error
func_100127.js,2735,3609,17.50,797,4,5.032,3121,false,Error
func_100128.js,3628,7890,29.04,1662,3,5.185,7108,false,Error
func_100129.js,556,1877,16.67,417,6,4.376,1644,false,Error
func_100130.js,544,1890,17.44,447,8,4.538,1718,false,Error
func_100132.js,262,1679,11.81,393,3,4.177,1545,false,Error
func_100133.js,1188,2763,19.26,627,5,4.674,2370,false,Error
func_100135.js,1090,2190,14.92,523,6,4.066,1948,false,Error
func_100136.js,425,1617,10.66,379,5,4.604,1439,false,Error
func_100138.js,411,2339,15.17,528,10,4.679,2177,false,Error
func_100139.js,594,2240,15.06,501,7,4.558,2022,false,Error
func_10014.js,263,1740,12.00,413,3,4.464,1630,false,Error
func_100140.js,559,1618,12.84,342,5,4.683,1394,false,Error
func_100141.js,268,1379,12.16,327,4,4.181,1258,false,Error
func_100144.js,526,2447,12.50,512,8,4.658,2218,false,Error
func_100148.js,779,3385,34.52,738,12,5.601,3025,false,Error
func_10015.js,3835,5404,35.39,1243,23,4.867,4791,false,Error
func_100150.js,336,1618,11.93,389,3,4.490,1498,false,Error
func_100151.js,695,2721,15.42,592,8,5.111,2500,false,Error
func_100152.js,1139,2947,17.20,687,18,4.643,2616,false,Error
func_100153.js,567,2323,15.60,519,5,5.060,2133,false,Error
func_100154.js,239,1467,12.43,346,3,4.555,1349,false,Error
func_100155.js,275,1696,11.68,407,5,4.267,1571,false,Error
func_100156.js,172,1364,9.78,336,5,3.867,1278,false,Error
func_100157.js,366,1601,10.53,389,5,3.680,1451,false,Error
